# wxskyfield_stars.dat
#
# An excerpt of the Hipparcos Catalogue (main catalog, hip_main.dat)
# containing the named stars supported by weewx-skyfield and the stars
# forming the constellation line figures of wxskyfield_lines.dat.
#
# Source: The Hipparcos and Tycho Catalogues, ESA SP-1200 (1997).
#         European Space Agency.  Distributed by the Centre de Donnees
#         astronomiques de Strasbourg (CDS) as VizieR catalog I/239:
#         https://cdsarc.cds.unistra.fr/ftp/cats/I/239/hip_main.dat
#
# Licence: CC BY-NC 3.0 IGO
#          (https://creativecommons.org/licenses/by-nc/3.0/igo/).
#          Credit: ESA.
#
# Each data line is an unmodified record from hip_main.dat.
#
H|        3881| |00 49 48.83|+41 04 44.2| 4.53| |G|012.45345723|+41.07895474| |   4.80|   22.68|  -18.05|  0.48|  0.51|  0.75|  0.53|  0.49| 0.25| 0.15| 0.14|-0.14| 0.12|-0.16| 0.12|-0.34| 0.10| 0.17|  0|-0.96|  3881| 4.352|0.002| 4.510|0.002| |-0.136|0.004|G|-.14|0.03|C| | 4.4853|0.0004|0.006|165| | 4.48| 4.50|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  4727|B+40  171 |          |          |-.14|B5V SB      |G 
H|        4422| |00 56 40.01|+59 10 52.2| 4.62| |H|014.16671042|+59.18116582| |  15.84|  -92.56|  -45.33|  0.35|  0.38|  0.58|  0.42|  0.42|-0.35| 0.21| 0.08| 0.09| 0.09| 0.01| 0.08|-0.03| 0.06|-0.40|  1|-0.72|  4422| 5.843|0.002| 4.732|0.002| | 0.957|0.001|G|1.01|0.04|G| | 4.7838|0.0004|0.005|225| | 4.78| 4.79|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  5395|B+58  138 |          |          |1.01|G8III-IV    |X 
H|        4427| |00 56 42.50|+60 43 00.3| 2.15|1|H|014.17708808|+60.71674966| |   5.32|   25.65|   -3.82|  0.35|  0.38|  0.56|  0.42|  0.44|-0.24| 0.19| 0.04| 0.24| 0.06|-0.01| 0.08|-0.03| 0.18|-0.26|  0|-1.19|  4427| 2.112|0.002| 2.168|0.003| |-0.046|0.003|T|-.02|0.00|L| | 2.1379|0.0008|0.009|154| | 2.12| 2.16|       |U|2| |00567+6043|I| 1| 1| | | |  |   |       |     |     |    |S| |P|  5394|B+59  144 |          |          |0.01|B0IV:evar   |X 
H|        4436| |00 56 45.10|+38 29 57.3| 3.86|1|G|014.18790699|+38.49925513| |  23.93|  152.78|   36.82|  0.86|  0.82|  1.22|  1.12|  0.72| 0.35| 0.18| 0.15|-0.05|-0.14|-0.16|-0.17|-0.52| 0.07| 0.18|  3|     |  4436| 4.038|0.002| 3.881|0.002| | 0.130|0.000|G|0.14|0.00|H| | 3.9034|0.0006|0.006|146| | 3.89| 3.91|       |M| | |00568+3830|I| 1| 1|X| | |  |   |       |     |     |    |S| | |  5448|B+37  175 |          |          |0.14|A5V         |X 
H|        4577| |00 58 36.35|-29 21 26.9| 4.30| |H|014.65144118|-29.35746436| |   4.85|   22.44|    6.30|  0.65|  0.57|  0.84|  1.04|  0.65| 0.21|-0.07|-0.36| 0.19| 0.12| 0.02| 0.13| 0.26|-0.30| 0.21|  0|-1.57|  4577| 4.123|0.003| 4.283|0.003| |-0.154|0.007|G|-.12|0.02|A| | 4.2628|0.0005|0.005| 82| | 4.26| 4.27|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  5737|          |C-30   297|P-30    99|-.12|B7IIIp      |3 
H|        4889| |01 02 49.09|+31 48 15.6| 5.50| |H|015.70452742|+31.80433674| |   7.87|   15.53|  -30.38|  0.62|  0.43|  0.68|  0.74|  0.43| 0.29| 0.15|-0.04| 0.28|-0.08| 0.00|-0.01|-0.35| 0.18| 0.36|  0|-1.08|  4889| 5.442|0.002| 5.491|0.003| |-0.043|0.003|G|-.02|0.00|H| | 5.4945|0.0006|0.005|124| | 5.48| 5.51|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  6118|B+31  168 |          |          |-.02|B9.5V       |X 
H|        4906| |01 02 56.66|+07 53 24.3| 4.27| |G|015.73606615|+07.89007256| |  17.14|  -80.57|   25.88|  0.73|  0.54|  0.81|  0.72|  0.46| 0.25| 0.37| 0.10|-0.09|-0.03|-0.08|-0.03|-0.38| 0.04| 0.21|  0| 0.02|  4906| 5.496|0.003| 4.381|0.002| | 0.952|0.029|G|0.98|0.02|A| | 4.4267|0.0006|0.004| 77| | 4.42| 4.44|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  6186|B+07  153 |          |          |0.98|K0III       |X 
H|        5054| |01 04 40.28|-39 29 13.0| 7.72| |H|016.16782838|-39.48693482| |  24.80| -168.97| -527.71|  0.61|  0.60|  0.89|  0.85|  0.54|-0.07| 0.01|-0.19|-0.43| 0.26|-0.04| 0.16| 0.10|-0.15|-0.01|  0|-2.51|  5054| 8.450|0.010| 7.789|0.008| | 0.613|0.011|T|0.68|0.01|L| | 7.8495|0.0015|0.013|137| | 7.83| 7.88|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  6434|          |C-40   239|P-40    98|0.64|G3IV        |X 
H|        5165| |01 06 05.11|-46 43 06.6| 3.32| |G|016.52127713|-46.71849042| |  16.46|  -70.16|   31.60| 14.59| 15.14| 22.22| 18.11| 15.94|-0.21|-0.05|-0.24|-0.07| 0.05| 0.06| 0.06|-0.22| 0.02|-0.20|  2|     |  5165| 4.446|0.003| 3.416|0.003| | 0.885|0.001|G|0.90|0.02|A| | 3.4646|0.0004|0.004|130| | 3.46| 3.47|       |D| | |01061-4643|I| 1| 1|X| |S|  |   |       |     |     |    |S| |G|  6595|          |C-47   324|P-47   129|0.90|G8IIIvar    |X 
H|        5348|H|01 08 23.06|-55 14 45.0| 3.94|2|G|017.09608370|-55.24583235|A|  11.66|   21.17|   29.70|  0.64|  0.68|  0.77|  0.56|  0.66|-0.08| 0.02|-0.11| 0.00| 0.02| 0.18| 0.05| 0.14| 0.01|-0.05| 14| 3.34|  5348| 3.854|0.004| 3.958|0.004|-|-0.120|0.220|G|-.08|0.02|A|*| 3.9219|0.0013|0.055|139|-| 3.91| 4.18|   1.67|P|1|A|01084-5515|I| 1| 3|C| |C|  |   |       |     |     |    |S| |G|  6882|          |C-55   267|P-55   241|-.08|B6V + B0V   |G 
